k,d,alpha,,
2,3,0.182223965479,,
2,4,0.284369546188,,
2,5,0.372004034419,,
2,6,0.442893795925,,
2,7,0.503244036771,,
2,8,0.554523151827,,
2,9,0.594569019178,,
2,10,0.630902908893,,
2,11,0.660294600173,,
2,12,0.689290423104,,
2,13,0.711052405321,,
2,14,0.735075139036,,
2,15,0.751907531843,,
2,16,0.767808699046,,
2,17,0.782447912599,,
2,18,0.795362142338,,
2,19,0.806728145082,,
2,20,0.817251548953,,
3,4,0.0778299859073,,
3,5,0.167277001441,,
3,6,0.250140617664,,
3,7,0.320279614808,,
3,8,0.384474207022,,
3,9,0.441995979538,,
3,10,0.489971768442,,
3,11,0.532177849697,,
3,12,0.568560797838,,
3,13,0.603990156769,,
3,14,0.636592811145,,
3,15,0.660155642844,,
3,16,0.683953930522,,
3,17,0.706157499348,,
3,18,0.724844457459,,
3,19,0.743606285364,,
3,20,0.757282904602,,
5,6,0.0239526191879,,
5,7,0.0670771913431,,
5,8,0.12334108827,,
5,9,0.180215310865,,
5,10,0.239441779467,,
5,11,0.297637315473,,
5,12,0.351355337464,,
5,13,0.404193649384,,
5,14,0.451739048113,,
5,15,0.498457905644,,
5,16,0.538888511595,,
5,17,0.578157850022,,
5,18,0.614936802537,,
5,19,0.651597960681,,
5,20,0.679499742115,,
10,11,0.0037336547474,,
10,12,0.0147484650855,,
10,13,0.0347491819387,,
10,14,0.0631091834522,,
10,15,0.100471443397,,
10,16,0.147693944204,,
10,17,0.200195808062,,
10,18,0.261373834651,,
10,19,0.325363236978,,
10,20,0.398082082626,,